expected_file,agent_answer,gold,correct_doc_retrieved,exact,substring,token_recall,jaccard,rouge1_f,overlap,bleu,bert_cos
20260131_1400,FINAL ANSWER: The café is “The Java Spot.” Source: C:\Users\Francisco Azeredo\OneDrive\Documents\tecnico\5 ano\tese\Código\MiniRAG\dataset\LiHua-World\data\LiHuaWorld\LiHua-World\week4\20260131_1400.txt — “There’s a great little café not far from here called ‘The Java Spot.’”,The Java Spot,True,False,True,1.0,0.08,0.20689654986920336,0.6666666666666666,0.07692307692307693,0.5368463397026062
20261014_1400,"FINAL ANSWER: LiHua is enthusiastic about adding stealth, seeing it as a way to deepen teamwork and strategy—assigning roles (e.g., one distracts while others sneak) and emphasizing clear communication. As he puts it, “I’m excited just thinking about it! We might need to assign roles… Communication will definitely be key.” Source: C:\Users\Francisco Azeredo\OneDrive\Documents\tecnico\5 ano\tese\Código\MiniRAG\dataset\LiHua-World\data\LiHuaWorld\LiHua-World\week41\20261014_1400.txt",it could lead to some really engaging and strategic gameplay,True,False,False,0.3,0.08571428571428572,0.14999999625000007,0.3,0.10344827586206899,0.32876354455947876
20261013_1330,FINAL ANSWER: He didn’t propose specific activities; he asked the group what to include: “What kind of activities should we include for the gathering?” (source: C:\Users\Francisco Azeredo\OneDrive\Documents\tecnico\5 ano\tese\Código\MiniRAG\dataset\LiHua-World\data\LiHuaWorld\LiHua-World\week41\20261013_1330.txt),games for kids & flower planting workshops & good food,True,False,False,0.125,0.029411764705882353,0.054054050372534954,0.1111111111111111,0.03571428571428572,0.2960743308067322
20261024_1100,FINAL ANSWER: Background music. As RexxarRemar put it: “A little background music could really set the mood!” Source: C:\Users\Francisco Azeredo\OneDrive\Documents\tecnico\5 ano\tese\Código\MiniRAG\dataset\LiHua-World\data\LiHuaWorld\LiHua-World\week42\20261024_1100.txt,organizing some music,True,False,False,0.3333333333333333,0.05263157894736842,0.2857142808163266,0.3333333333333333,0.0588235294117647,0.46863362193107605
20260914_1000,"FINAL ANSWER: Proper warm-up and stretching before any game. As Jake put it: “First off, proper warm-up and stretching are key before any game.” [Source: C:\Users\Francisco Azeredo\OneDrive\Documents\tecnico\5 ano\tese\Código\MiniRAG\dataset\LiHua-World\data\LiHuaWorld\LiHua-World\week37\20260914_1000.txt]",proper warm-up and stretching,True,False,True,1.0,0.4444444444444444,0.4615384572781066,1.0,0.4444444444444444,0.760138213634491
20260826_1700,"FINAL ANSWER: Kaer Morhen, Skellige, and Toussaint.
- Source: C:\Users\Francisco Azeredo\OneDrive\Documents\tecnico\5 ano\tese\Código\MiniRAG\dataset\LiHua-World\data\LiHuaWorld\LiHua-World\week33\20260818_1000.txt — “Battle of Kaer Morhen.” / “The vibe of Toussaint is just beautiful”
- Source: C:\Users\Francisco Azeredo\OneDrive\Documents\tecnico\5 ano\tese\Código\MiniRAG\dataset\LiHua-World\data\LiHuaWorld\LiHua-World\week34\20260826_1700.txt — “The scenery in Skellige is just breathtaking!” / “Skellige is stunning, but… Toussaint”",Skellige and Toussaint,True,False,True,1.0,0.1111111111111111,0.3999999958,0.6666666666666666,0.14285714285714285,0.7381286025047302
20261006_1000,FINAL ANSWER: Rodri. Source: C:\Users\Francisco Azeredo\OneDrive\Documents\tecnico\5 ano\tese\Código\MiniRAG\dataset\LiHua-World\data\LiHuaWorld\LiHua-World\week40\20261006_1000.txt — “What about someone like Rodri? His importance in that midfield is huge!”,Rodri,True,False,True,1.0,0.0,0.4999999962500001,0.0,0,0.839794933795929
20261014_1400,FINAL ANSWER: He wants to know whether the game will have crossplay. Source: C:\Users\Francisco Azeredo\OneDrive\Documents\tecnico\5 ano\tese\Código\MiniRAG\dataset\LiHua-World\data\LiHuaWorld\LiHua-World\week41\20261014_1400.txt — “Any updates on whether the game will feature crossplay? That would make it even better!”,whether it will feature crossplay,True,False,False,1.0,0.1875,0.3529411723183391,0.6,0.21428571428571425,0.7548460960388184
20261009_1700,FINAL ANSWER: Chips. “I can bring some chips!” [source: C:\Users\Francisco Azeredo\OneDrive\Documents\tecnico\5 ano\tese\Código\MiniRAG\dataset\LiHua-World\data\LiHuaWorld\LiHua-World\week40\20261009_1700.txt],Chips,True,False,True,1.0,0.0,0.4999999962500001,0.0,0,0.8599007725715637
20261020_1000,"FINAL ANSWER: LiHua says the game strikes a refreshing balance—switching between action and thinking—so “every session feel[s] different.” Source: C:\Users\Francisco Azeredo\OneDrive\Documents\tecnico\5 ano\tese\Código\MiniRAG\dataset\LiHua-World\data\LiHuaWorld\LiHua-World\week42\20261020_1000.txt
Quote: “I love that balance. It's refreshing to switch between action and thinking. Makes every session feel different.”",It's refreshing to switch between action and thinking,True,False,True,1.0,0.7777777777777778,0.999999995,0.875,0.875,0.9788864850997925
